"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nepoznato"
"1995.",82886,3435,1521,2769,2128,2279,1404,1409,7040,616,972,1564,2438,3472,5236,1887,2391,10744,3573,3070,1116,23822,NA
"1996.",82374,4164,1429,2259,2002,2173,1447,1350,7026,567,1045,1157,2308,3440,5713,2013,2285,10787,3681,2928,1164,23436,NA
"1997.",86954,4567,1544,2478,2152,2490,1630,1527,7456,591,1160,1182,2530,3596,5817,2296,2404,11470,3732,3208,1469,23655,NA
"1998.",89086,5082,1679,2472,2209,2603,1787,1612,7450,588,1124,1190,2536,3556,5370,2373,2262,12247,3652,3321,1613,24360,NA
"1999.",94140,5350,1700,2634,2383,2776,1793,1782,7802,659,1107,1318,2716,3656,5797,2592,2393,13929,3814,3513,1843,24583,NA
"2000.",97727,5400,1788,2771,2531,2836,1802,1832,8376,738,1157,1468,2833,3963,5774,2833,2392,15249,3839,3656,1872,24617,NA
"2001.",105405,6019,1998,3083,2843,3456,1882,2034,8717,818,1245,1647,3219,4208,6454,3011,2756,15822,4404,4091,2056,25599,43
"2002.",113796,6452,2314,3336,3198,3725,2249,2194,9156,972,1424,1666,3578,4385,7116,3304,3418,16362,4871,4132,2326,27529,89
"2003.",117608,6927,2598,3354,3431,3591,2451,2416,9451,894,1493,1798,3708,4332,7400,3152,3466,16064,5182,4353,2240,29205,102
"2004.",125237,7906,2751,3607,3629,3967,2571,2537,9555,979,1700,1821,3925,4549,8183,3358,4113,16023,5484,4469,2497,31575,38
"2005.",129645,8236,2856,3810,3792,4224,2796,2594,9899,968,1951,1949,3990,4749,9172,3417,4416,16591,5358,4216,2711,31814,136
"2006.",132753,8808,3019,3966,4045,4238,2825,2864,10352,1178,1916,2068,4353,5010,9318,3479,4544,15675,5619,4243,2824,32256,153
"2007.",133541,8379,3131,3913,3954,4287,2955,3016,10338,1154,2035,2038,4367,4862,8751,3623,4618,15557,5912,4153,2814,29502,4182
"2008.",130617,8644,3216,3870,3884,4567,2936,3062,10295,1282,2053,2174,4485,5077,8635,3366,4543,15268,5896,4241,3017,29983,123
"2009.",141343,9285,3503,4221,4004,4664,3232,3396,11344,1428,2300,2322,4853,5651,9011,3768,4941,17253,6447,4418,3220,31914,168
"2010.",144753,9649,3781,4405,4145,4775,3349,3482,11290,1431,2326,2608,4914,5308,9146,3773,4864,17880,6449,4456,3410,33133,179
"2011.",148792,9657,3876,4469,4036,5215,3567,3469,11434,1431,2331,2785,4973,5357,9361,3602,4999,18452,6457,4473,3575,35113,160
"2012.",149020,9930,4226,4651,3819,5599,3663,3598,10061,1373,2460,2954,5226,5598,10104,3680,5269,18304,6441,4687,3770,33171,436
"2013.",146496,9624,4158,4435,3671,5593,3736,3482,9112,1360,2446,2865,5195,5969,9977,3702,5282,18015,6587,4679,3722,32565,321
"2014.",142301,9162,4090,4532,3547,5356,3701,3375,9505,1428,2379,2864,5121,6196,10157,3620,5179,16957,6392,4629,3549,30236,326
