"","Republika-Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad-Zagreb"
"1998.",36476,3028,688,1561,973,691,736,1102,1832,660,874,1154,1814,1239,1986,1036,2752,2487,896,665,302,10000
"1999.",31305,2674,536,1595,923,583,645,1118,1474,651,756,836,1463,1093,1669,981,2204,2015,805,632,310,8342
"2000.",33231,2929,704,1773,1099,667,657,1197,1638,669,866,899,1491,1200,1858,1062,2220,2035,734,704,354,8475
"2001.",30818,2894,645,1639,920,590,640,1104,1499,576,766,666,1284,1078,1730,953,1928,1878,778,648,298,8304
"2002.",33392,3120,798,1685,1165,690,716,1112,1655,638,846,813,1451,1211,1856,1060,2141,2135,855,736,372,8337
"2003.",33808,3392,728,1812,1016,739,755,1151,1798,572,734,771,1595,1087,1707,1057,2255,2079,840,853,384,8483
"2004.",32341,3372,648,1570,869,709,660,1121,1701,510,811,772,1500,1081,1754,1045,1816,1951,911,702,425,8413
"2005.",31819,3240,656,1559,949,686,693,1045,1590,590,779,731,1414,960,1806,874,1822,2038,951,758,423,8255
"2006.",32501,3553,751,1627,907,635,720,1060,1612,481,802,776,1475,1022,1848,905,1800,2249,998,765,398,8117
"2007.",32418,3452,762,1534,956,644,669,1097,1830,553,850,684,1426,1134,2038,968,1714,2208,974,803,438,7684
"2008.",29557,3289,632,1339,807,585,542,973,1763,469,706,684,1344,1019,1714,838,1496,2121,951,683,401,7201
"2009.",27798,3192,579,1299,742,597,552,872,1601,501,574,693,1218,923,1587,822,1480,2034,845,692,331,6664
"2010.",25846,2937,644,1198,782,559,521,934,1395,377,555,592,1184,796,1437,783,1407,1843,751,679,346,6126
"2011.",28514,3469,726,1295,732,625,616,1026,1501,470,565,684,1240,931,1537,933,1504,1826,889,794,363,6788
"2012.",27617,3177,663,1355,694,635,587,950,1600,407,655,625,1159,949,1547,877,1459,1915,827,712,415,6409
"2013.",29959,3444,746,1401,838,702,586,1034,1629,444,665,639,1413,1059,1771,851,1681,2110,941,850,424,6731
"2014.",33806,3401,818,1602,947,935,868,1195,1914,576,823,812,1586,1255,2160,1004,2028,2331,1103,900,593,6955
"2015.",33418,3444,816,1610,934,865,860,1246,2008,555,895,904,1602,1259,2246,1016,1910,2174,1130,904,574,6466
