"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska"
"2003.",18592,4028,645,799,626,557,479,530,1353,436,376,353,757,919,1107,537,680,2051,1347,590,422
"2004.",17140,3844,502,678,560,435,497,435,1210,353,346,273,690,816,1102,558,665,2020,1294,545,317
"2005.",15679,3450,466,776,478,421,439,439,1105,263,312,261,610,772,939,517,425,1958,1094,632,322
"2006.",16706,3754,491,807,531,481,451,460,1231,283,318,291,677,739,1155,535,499,1899,1162,595,347
"2007.",18029,3920,475,908,606,513,472,438,1229,290,324,314,761,903,1164,576,720,2119,1257,647,393
"2008.",16283,3458,416,786,540,484,455,364,1221,283,314,277,689,812,1081,517,661,1874,1101,584,366
"2009.",15730,3573,392,689,500,466,400,411,1241,300,315,270,656,773,1055,436,618,1787,1043,500,305
"2010.",13272,2963,329,574,402,415,294,327,1016,240,276,242,527,734,860,398,524,1569,882,456,244
"2011.",13228,3065,318,581,390,377,323,340,1024,261,291,237,525,658,792,387,540,1507,884,447,281
"2012.",11773,2814,304,496,354,365,287,292,915,259,230,169,474,587,747,370,469,1232,790,393,226
"2013.",11225,2653,264,457,316,398,287,290,866,221,218,174,432,599,745,315,456,1184,730,390,230
"2014.",10607,2588,230,408,327,331,278,281,824,210,171,162,423,521,613,380,482,1112,693,341,232
"2015.",11038,2548,250,393,362,375,272,321,763,263,194,164,436,562,628,358,513,1214,742,430,250
