"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nerasporeðeno"
"2000.",65572780,3276852,977930,1172577,1089268,2399273,902736,476255,3739718,15088,268693,224348,536899,484062,1377464,531939,351810,3028663,3677513,380736,1260099,35899440,3501417
"2001.",76425531,3954108,1209112,1563355,1341255,2970774,947736,587309,4464950,15546,270254,260306,563734,750546,2354795,864188,422500,4081440,4788826,448135,1455975,39319578,3791109
"2002.",83880110,5280287,1427939,1918759,916910,3144011,1085286,789437,3732971,46668,293042,343109,653688,1052610,1941536,694854,536290,4748791,4663492,513615,1474109,46157346,2465362
"2003.",94893108,6275158,1651173,2697162,1116054,3410735,1283209,858517,4265459,52603,335167,327556,696540,1158117,2053163,642912,663331,6057623,5174252,506559,1641737,51499021,2527061
"2004.",100008106,6691235,1560479,3000693,1012220,3782907,1126347,828717,4460318,57036,379044,406671,701817,1069304,2023807,980046,657508,6019993,5644584,523208,1651054,55056918,2374200
"2005.",110520226,7116942,1530618,2549155,1169988,3626176,1139679,838929,4694496,28772,414680,364156,637761,1165441,2585398,1235791,828212,6013845,6456560,710147,1598576,63405500,2409403
"2006.",125248775,8179686,1926886,2581551,1248223,3839361,1225364,845537,5275146,38644,504890,452690,828494,1242552,2824446,1485647,1245350,7116958,6606094,787593,1866421,72603987,2523255
"2007.",138159436,9395728,2171065,2650908,1421472,4022049,1296723,948007,5917424,61463,574672,509356,1024538,1359025,2979019,1487271,1234078,8059747,7729331,903930,2209605,79546550,2657473
"2008.",150354032,9972351,2321202,3344171,1337338,4042470,1383749,1014210,7523697,54509,542967,424980,1098614,1359366,3162207,1534809,1426797,8449704,7743368,790546,2323613,88037728,2465633
"2009.",111751098,7264922,1672015,1907213,1130077,3120977,1285840,1050973,4917808,38275,355358,379370,884221,966187,2419239,977692,1416972,5148923,5862151,469067,1827241,66975961,1680617
"2010.",110296840,6803388,1690969,2343598,1135158,3264891,1161869,823740,5544770,62109,276419,455487,786841,1020567,2633288,1572350,1040356,5470646,5530013,396070,1914927,64922092,1447290
"2011.",121036155,9266416,1856667,2208635,1271403,4146181,1388704,873822,5708891,98413,557681,479762,1326433,1069586,3147134,1661571,1337070,4561588,5446357,397241,2352180,70564672,1315749
"2012.",121899361.485,9188765.123,2104199.542,2153803.822,1263418.706,3980158.477,1312444.815,899878.38,5308669.839,91465.344,632556.158,516314.861,1555455.719,1071583.21,3028553.087,1913352.547,1626812.63,5104513.931,5125557.947,529991.315,2325687.264,71552304.42,613874.348
"2013.",125051937.74,10053826.249,2176359.709,1899067.472,1570489.938,5291808.992,1324530.415,958987.587,5650685.788,70950.542,364556.737,520701.712,1144219.068,1209472.329,3053472.889,1249165.685,2105896.681,4351125.771,5150998.073,407340.876,2484506.524,73278313.125,735461.578
"2014.",130673195.571,11383648.262,2396092.452,1935848.914,1467738.599,6109002.535,1520801.006,953599.049,6752208.333,67652.549,470682.082,494180.111,1020953.641,1370129.938,3016813.394,1023787.572,3211494.997,4598772.765,4988492.722,350980.256,2909156.267,70332197.978,4298962.149
"2015.",140747762964,13061388498,2455872360,2145804194,1474764616,7410373582,1739758205,1084648971,6558713663,83752691,504823830,602974631,1273619943,1760554098,3368003345,584886250,3027812664,4859103976,5707295522,547852982,3198255061,73014414626,6283089256
"2016.",148282053232,14304685836,2622934642,1799086581,1862983769,7236091736,1883313164,1363232828,6630332810,107495508,621136868,555163484,1331799822,1695062248,3908898483,461347181,2629964712,4993984057,6039993435,554373324,3415742203,74169709558,10094720983
