"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015.","2016."
"Republika Hrvatska","Republic of Croatia",3596308,4103471,4202942,4773236,5155445,5524936,5156169,4028377,3495567,2798345,2151516,1730362,1933672,2487012,2635237
"Zagrebačka","Zagreb",231833,231383,272945,308352,278428,460068,377557,413216,223933,205410,137108,177719,202929,120075,129593
"Krapinsko-zagorska","Krapina-Zagorje",88714,101021,83752,90087,78614,131204,93902,100049,59845,50297,47321,28336,44335,48364,51958
"Sisačko-moslavačka","Sisak-Moslavina",47286,66921,58313,51259,79668,57236,90089,96517,69708,52778,63904,43336,36081,21212,42790
"Karlovačka","Karlovac",48700,47212,58415,86791,85873,83817,81967,109490,55602,46791,38016,45902,46477,45875,58284
"Varaždinska","Varaždin",143570,146137,167783,190012,222529,196268,222949,117712,133187,96384,64819,60215,84689,93093,89572
"Koprivničko-križevačka","Koprivnica-Križevci",79557,85106,106979,127610,177159,100581,102067,52324,55197,54812,45758,33852,33615,121743,77028
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",79105,74020,73647,91201,92304,172181,103597,100164,57766,92241,45075,33694,47693,69512,70060
"Primorsko-goranska","Primorje-Gorski kotar",320368,440050,391544,476661,393354,515477,439178,398349,272205,260349,244794,142334,162044,434833,201745
"Ličko-senjska","Lika-Senj",42917,59379,92721,93027,78533,99118,90966,68296,46768,58177,37247,38483,43528,49183,55034
"Virovitičko-podravska","Virovitica-Podravina",39052,51298,50732,55498,70147,70488,62789,52872,43304,51932,31648,27419,47731,60678,35548
"Požeško-slavonska","Požega-Slavonia",57200,54756,57398,53309,57267,40301,37103,46106,62373,32256,17186,19206,41409,19649,21259
"Brodsko-posavska","Slavonski Brod-Posavina",66819,116427,96766,157315,155041,212808,129168,104961,75207,107757,46650,30377,39394,59032,83409
"Zadarska","Zadar",199083,177294,147439,167042,89018,142771,138763,195871,280258,184905,195205,126105,130621,145380,210137
"Osječko-baranjska","Osijek-Baranja",183590,236943,248015,342374,537948,356393,309495,410368,188777,164307,250302,83206,124710,324416,176398
"Šibensko-kninska","Šibenik-Knin",52554,90304,120172,128247,117947,154230,102345,71730,77663,101480,78521,52971,54113,56432,61349
"Vukovarsko-srijemska","Vukovar-Sirmium",74488,106110,113707,168027,147060,142152,187066,152277,149213,120442,85701,51246,50769,81823,104734
"Splitsko-dalmatinska","Split-Dalmatia",381047,438904,464265,383407,378083,473225,421981,486937,244575,310511,148576,202126,152843,172050,247146
"Istarska","Istria",246954,374123,321395,276211,310395,272096,261868,309265,277106,217997,159771,126661,116983,161797,240444
"Dubrovačko-neretvanska","Dubrovnik-Neretva",111675,129777,128508,142199,111604,302884,92901,110208,108809,90912,86714,75259,78162,108947,80307
"Međimurska","Međimurje",119277,134222,138603,150011,209162,157267,160444,123480,81632,74902,59616,63315,119508,100202,122095
"Grad Zagreb","City of Zagreb",982519,942084,1009843,1234596,1485311,1384371,1649974,508185,932439,423705,267584,268600,276038,192716,476347
