"zupanija","County.of","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015.","2016."
"Republika Hrvatska","Republic of Croatia",36785148,38916595,38421439,41355230,48362953,52282750,60436998,66043374,69204821,55272198,64891583,71234060,72380724.531,72594640.149,79099297.295,87772422666,92793258522
"Zagrebaèka","Zagreb",837894,791586,902227,996645,1101721,1190452,1364352,1574973,1886576,1557756,1857575,2195598,2784292.158,3176549.384,3583637.112,4646264188,4937318176
"Krapinsko-zagorska","Krapina-Zagorje",1158100,1236710,1232551,1506589,1528060,1550223,1758661,2044250,2160492,1948086,2152812,2288819,2427077.423,2752080.494,2908127.34,3109077521,3360267749
"Sisaèko-moslavaèka","Sisak-Moslavina",1684903,1755703,2067874,2468663,3392311,2962304,3050807,3481754,3692349,2511464,3130893,4008882,3645507.881,3412397.451,3678967.243,4027717077,3028816414
"Karlovaèka","Karlovac",728682,778914,736027,751105,1282449,1172828,1102360,1335898,1476833,1365182,1364108,1500225,1675042.07,1873568.688,1965979.76,2099506558,2425295091
"Varaždinska","Varaždin",2228732,2415894,2407252,2450759,3154709,3204410,3973233,4475295,4598575,3949677,4486403,5399760,5651981.706,6009698.5,6020757.057,6881434482,7095697320
"Koprivnièko-križevaèka","Koprivnica-Križevci",1013505,995023,1004409,1046541,1073180,1107331,1228314,1286413,1336612,1372306,1523069,1849127,1861053.498,1989924.141,2069006.987,2186746635,2340522405
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",379793,432388,428638,462765,489694,540028,658985,785874,897237,703868,715312,733346,738029.048,765112.129,831759.453,890869890,1045305869
"Primorsko-goranska","Primorje-Gorski kotar",2660538,3245825,1764773,1584792,2399468,2421080,3097018,3108490,4036145,2620805,3249221,4354545,4021808.236,3498403.983,3806359.231,4305012193,3595879537
"Lièko-senjska","Lika-Senj",47283,37085,30710,36932,37091,39096,39989,60834,42947,33633,43007,76706,129517.637,174243.75,194752.843,226178238,233184108
"Virovitièko-podravska","Virovitica-Podravina",576065,473928,543491,751244,562248,645362,826721,832492,856801,642917,735728,729343,996058.694,756417.116,952230.329,949374551,1105157253
"Požeško-slavonska","Požega-Slavonia",379306,409889,430792,479364,509545,531227,628940,754582,621641,553334,607332,680124,762025.663,778544.336,763544.573,833997885,830867503
"Brodsko-posavska","Slavonski Brod-Posavina",402708,484675,446759,422452,507803,611630,634581,927380,1232196,1016506,931077,909327,1376030.829,1446426.23,1308484.71,1878874328,1904370867
"Zadarska","Zadar",319825,375929,652285,713139,834102,799110,1094665,1158884,1091982,1029472,1058330,1301131,1264046.334,1295700.007,1388731.187,1789599063,1717448843
"Osjeèko-baranjska","Osijek-Baranja",1426766,2230172,2529591,2801842,2698795,3182685,3359452,3048556,2798864,2236417,2643653,3462485,3251003.263,2975563.549,3401549.999,3795656002,4257614506
"Šibensko-kninska","Šibenik-Knin",698093,573226,506280,363655,752006,969250,1126645,1270424,1432526,1021196,1431947,1555273,1923426.904,1188250.91,1032585.783,541524003,371788383
"Vukovarsko-srijemska","Vukovar-Sirmium",319287,347865,452864,585706,390615,808504,998970,1110531,989260,812686,1501391,1151711,1197064.292,1237696.451,1404030.087,1426110329,1361892922
"Splitsko-dalmatinska","Split-Dalmatia",2119619,2239129,2742581,3712619,4101900,3815621,4518483,5498495,5650071,3512169,4743912,4454474,3595264.336,2294355.207,2710579.366,3603628213,3515523225
"Istarska","Istria",4954397,5161270,5139987,4988125,5540072,5297790,6047480,6566899,6622137,5001866,6766374,7120999,5242935.027,5116869.843,4618589.799,5542424913,5093153728
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",154076,202984,130206,111535,112152,197951,202953,230037,272921,182614,226625,246347,176662.027,224155.684,221194.996,247009146,202228842
"Meðimurska","Meðimurje",1077407,1132814,1048134,1127526,1294780,1334326,1625298,2041638,2254803,2010968,2319785,2931082,3058074.821,3172303.884,3407594.282,3785473790,4157395710
"Grad Zagreb","City of Zagreb",13197755,13105815,12694633,13454652,15986453,19259339,22349548,23562472,24440919,20645486,22782647,23673608,26391493.004,27578284.61,28276433.341,29099582726,30770785271
"Nerasporeðeno","Unclassified",420413,489771,529373,538580,613798,642202,749543,887200,812934,543789,620384,611148,212329.68,878093.802,4554401.817,5906360935,9442744800
