"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.024838,0.022207,0.030346,0.023198,0.02874,0.023466,0.03068,0.020653,0.019816,0.01972,0.019431,0.015244,0.011714,0.012654,0.015587
"Brodsko-posavska","Slavonski Brod-Posavina",0.011282,0.015354,0.014969,0.018179,0.019994,0.016187,0.01949,0.02396,0.016461,0.012673,0.015792,0.012967,0.017896,0.015797,0.01531
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.009196,0.009133,0.010374,0.014015,0.013216,0.009267,0.008479,0.010542,0.006917,0.009217,0.006051,0.005861,0.005884,0.005819,0.00588
"Grad Zagreb","City o Zagreb",0.023242,0.026901,0.026531,0.026346,0.036695,0.040612,0.051075,0.051081,0.03568,0.020926,0.02083,0.017931,0.018333,0.021427,0.020319
"Istarska","Istria",0.024106,0.022565,0.030467,0.033475,0.03262,0.02881,0.036921,0.032194,0.02737,0.023037,0.026088,0.019613,0.02311,0.022839,0.018513
"Karlovačka","Karlovac",0.026154,0.027417,0.027873,0.026567,0.017707,0.022986,0.020764,0.021074,0.014111,0.015584,0.020141,0.016126,0.018856,0.014598,0.016103
"Koprivničko-križevačka","Koprivnica-Križevci",0.019095,0.016328,0.015223,0.016852,0.022087,0.015847,0.020922,0.020958,0.016929,0.012132,0.015525,0.016248,0.015462,0.011901,0.015371
"Krapinsko-zagorska","Krapina-Zagorje",0.01702,0.013514,0.021151,0.021324,0.018379,0.021935,0.024323,0.022474,0.014325,0.015216,0.012241,0.012229,0.014095,0.01398,0.0173
"Ličko-senjska","Lika-Senj",0.012795,0.018174,0.021178,0.021893,0.008731,0.045782,0.014796,0.028725,0.011265,0.012339,0.013157,0.011353,0.011506,0.011938,0.016942
"Međimurska","Međimurje",0.018389,0.018932,0.019448,0.02586,0.024088,0.022701,0.029436,0.02248,0.018051,0.018919,0.019755,0.016529,0.019203,0.017047,0.022438
"Osječko-baranjska","Osijek-Baranja",0.020288,0.019946,0.017077,0.023489,0.023077,0.023421,0.022073,0.02118,0.021602,0.02126,0.020316,0.016707,0.020239,0.022701,0.022186
"Požeško-slavonska","Požega-Slavonia",0.023992,0.033181,0.023573,0.022057,0.013692,0.017411,0.013915,0.019847,0.016837,0.010727,0.012395,0.011154,0.013667,0.018882,0.015638
"Primorsko-goranska","Primorje-Gorski kotar",0.015196,0.016787,0.015183,0.023977,0.021342,0.026481,0.020777,0.020952,0.020997,0.020564,0.01751,0.017023,0.018317,0.014254,0.016492
"Republika Hrvatska","Republic of Croatia",0.017554,0.019291,0.020427,0.021472,0.023236,0.024994,0.026522,0.025712,0.021566,0.017453,0.017438,0.015334,0.015861,0.015606,0.015818
"Sisačko-moslavačka","Sisak-Moslavina",0.009061,0.01282,0.011204,0.013046,0.01412,0.013263,0.009674,0.013398,0.010244,0.008425,0.009812,0.008998,0.008687,0.008776,0.01015
"Splitsko-dalmatinska","Split-Dalmatia",0.013195,0.014177,0.017167,0.016326,0.017132,0.017719,0.016205,0.014797,0.013372,0.012666,0.012358,0.010746,0.007169,0.007243,0.007156
"Šibensko-kninska","Šibenik-Knin",0.006872,0.010458,0.011438,0.012986,0.011906,0.010509,0.009867,0.006297,0.00738,0.011609,0.006207,0.005474,0.007509,0.00994,0.00741
"Varaždinska","Varaždin",0.021116,0.02851,0.035274,0.033918,0.029182,0.034301,0.035789,0.029295,0.031185,0.028252,0.025408,0.027125,0.024324,0.024081,0.022725
"Virovitičko-podravska","Virovitica-Podravina",0.009851,0.015551,0.01065,0.013279,0.010398,0.015539,0.015184,0.009565,0.013014,0.010182,0.012113,0.01162,0.012357,0.006317,0.010855
"Vukovarsko-srijemska","Vukovar-Sirmium",0.012911,0.012642,0.01444,0.015959,0.013688,0.01558,0.014409,0.014054,0.018197,0.015617,0.013674,0.008559,0.008248,0.008677,0.008959
"Zadarska","Zadar",0.010148,0.009036,0.011713,0.015228,0.011285,0.013417,0.014956,0.01137,0.01257,0.010501,0.008207,0.007985,0.008689,0.005669,0.007017
"Zagrebačka","Zagreb",0.018581,0.020741,0.023436,0.015795,0.029039,0.03148,0.028788,0.029814,0.031007,0.023482,0.027154,0.025365,0.025904,0.02152,0.021213
