"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.015665,0.017018,0.018896,0.019991,0.020578,0.022922,0.024363,0.024937,0.027877,0.028838,0.029042,0.03047,0.029771,0.029212
"Brodsko-posavska","Slavonski Brod-Posavina",0.019546,0.021757,0.0226,0.024017,0.024479,0.02676,0.026952,0.027753,0.030203,0.030798,0.031425,0.033268,0.033311,0.033236
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.034865,0.035071,0.036833,0.03773,0.035378,0.03539,0.034423,0.034901,0.036122,0.036347,0.036527,0.038312,0.038291,0.037833
"Grad Zagreb","City of Zagreb",0.033202,0.035652,0.037795,0.040762,0.040945,0.041441,0.037789,0.038286,0.040629,0.042017,0.044422,0.041827,0.040936,0.03787
"Istarska","Istria",0.022265,0.024502,0.025895,0.027205,0.02637,0.027443,0.028645,0.028394,0.03093,0.030913,0.031039,0.031008,0.0317,0.030701
"Karlovačka","Karlovac",0.020255,0.022989,0.024859,0.026487,0.027873,0.029993,0.029586,0.029275,0.030458,0.031898,0.03141,0.030072,0.029207,0.028576
"Koprivničko-križevačka","Koprivnica-Križevci",0.01549,0.018603,0.020378,0.021513,0.023499,0.023863,0.025091,0.025033,0.027676,0.028836,0.030903,0.031895,0.032673,0.032554
"Krapinsko-zagorska","Krapina-Zagorje",0.014342,0.016714,0.018877,0.020097,0.020954,0.022215,0.023168,0.023941,0.026149,0.028368,0.029215,0.03208,0.031766,0.03147
"Ličko-senjska","Lika-Senj",0.01468,0.017595,0.01621,0.017699,0.017719,0.021782,0.021558,0.024212,0.027311,0.027806,0.028227,0.027492,0.02755,0.02934
"Međimurska","Međimurje",0.01803,0.020378,0.019641,0.021904,0.023764,0.024771,0.024727,0.026524,0.028297,0.029951,0.03143,0.033198,0.032817,0.031363
"Osječko-baranjska","Osijek-Baranja",0.020257,0.022352,0.023315,0.02588,0.029106,0.029749,0.028141,0.027931,0.02928,0.02985,0.030738,0.033374,0.033152,0.034053
"Požeško-slavonska","Požega-Slavonia",0.019738,0.020036,0.021713,0.02213,0.023785,0.025411,0.02523,0.027086,0.029175,0.033146,0.035808,0.038538,0.037796,0.038191
"Primorsko-goranska","Primorje-Gorski kotar",0.029398,0.030876,0.031895,0.03224,0.033354,0.034828,0.034756,0.034585,0.038159,0.038048,0.038628,0.03407,0.030919,0.032351
"Republika Hrvatska","Republic of Croatia",0.024515,0.026451,0.027329,0.029094,0.030079,0.030793,0.030982,0.030308,0.032831,0.033699,0.034759,0.034919,0.034424,0.033574
"Sisačko-moslavačka","Sisak-Moslavina",0.016269,0.017716,0.01792,0.019396,0.020627,0.021673,0.021619,0.021605,0.023864,0.025264,0.026024,0.027459,0.026551,0.027638
"Splitsko-dalmatinska","Split-Dalmatia",0.036346,0.037281,0.036377,0.036023,0.03698,0.034732,0.034355,0.033624,0.037938,0.039312,0.040582,0.040248,0.039619,0.037299
"Šibensko-kninska","Šibenik-Knin",0.027369,0.029994,0.028545,0.030367,0.03082,0.031276,0.03247,0.030192,0.033832,0.034218,0.033024,0.034202,0.034748,0.034302
"Varaždinska","Varaždin",0.019129,0.020686,0.02003,0.022218,0.023709,0.023804,0.024139,0.025763,0.026397,0.027062,0.029669,0.031967,0.032064,0.030879
"Virovitičko-podravska","Virovitica-Podravina",0.013537,0.015584,0.016409,0.01889,0.021814,0.021606,0.023163,0.023545,0.026583,0.027223,0.027546,0.029349,0.02946,0.028955
"Vukovarsko-srijemska","Vukovar-Sirmium",0.014465,0.018027,0.0184,0.02199,0.023741,0.024547,0.025052,0.024708,0.026992,0.026851,0.027934,0.029671,0.030023,0.02986
"Zadarska","Zadar",0.0272,0.028041,0.027353,0.02846,0.029286,0.030527,0.029274,0.030272,0.033491,0.031332,0.031473,0.032745,0.034786,0.036136
"Zagrebačka","Zagreb",0.020283,0.021553,0.022891,0.025897,0.026753,0.028415,0.026831,0.027513,0.029429,0.030442,0.030407,0.031203,0.030185,0.02877
