"Županija","County.of","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.071847,0.109465,0.199019,0.280264,0.070078,0.224087,0.087973,0.016015
"Brodsko-posavska","Slavonski Brod-Posavina",0.008007,0.008508,0.008712,0.022161,0.026501,0.048206,0.021735,0.025947
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.288494,0.235169,0.263671,0.297846,0.310626,0.322324,0.331895,NA
"Grad Zagreb","City of Zagreb",0.647583,0.643211,1.967704,2.143565,1.978375,1.911138,3.533269,4.302229
"Istarska","Istria",0.37988,0.44225,0.45267,0.493746,0.20535,0.582074,0.33582,0.008086
"Karlovačka","Karlovac",0.029584,0.024045,0.030721,0.044578,0.058844,0.040465,0.049417,0.003053
"Koprivničko-križevačka","Koprivnica-Križevci",0.022458,0.024936,0.018185,0.020984,0.02162,0.02133,0.033566,0.033334
"Krapinsko-zagorska","Krapina-Zagorje",0.025325,0.03533,0.034678,0.146255,0.464633,0.047962,0.807613,0.083164
"Ličko-senjska","Lika-Senj",0.009178,0.000497,0.000466,0.001617,0.030776,0.024309,0.027573,NA
"Međimurska","Međimurje",0.331294,0.264775,0.408464,0.423487,0.583123,0.594056,0.569491,0.004692
"Osječko-baranjska","Osijek-Baranja",0.05343,0.039548,0.081446,0.228807,0.220574,0.179757,0.171176,0.02036
"Požeško-slavonska","Požega-Slavonia",0.028431,NA,NA,NA,0.000783,NA,NA,0.000373
"Primorsko-goranska","Primorje-Gorski kotar",0.48789,0.438506,0.300642,0.388387,0.346272,1.091444,0.902117,0.099387
"Republika Hrvatska","Republic of Croatia",0.26746,0.234556,0.506275,0.567181,0.558467,0.612648,0.894126,0.853723
"Sisačko-moslavačka","Sisak-Moslavina",0.009987,0.029625,0.023434,0.029256,0.044144,0.078079,0.044934,0.008739
"Splitsko-dalmatinska","Split-Dalmatia",0.20027,0.070098,0.223898,0.245252,0.224763,0.221919,0.234788,0.062424
"Šibensko-kninska","Šibenik-Knin",0.110075,0.012355,0.086104,0.044292,0.152758,0.183218,0.083472,0.000916
"Varaždinska","Varaždin",0.879369,0.522662,0.744304,0.237423,1.04805,1.299649,0.118066,0.089686
"Virovitičko-podravska","Virovitica-Podravina",0.011434,0.020307,0.020435,0.01996,0.026127,0.125017,0.133918,NA
"Vukovarsko-srijemska","Vukovar-Sirmium",0.019068,0.015962,0.014187,0.023536,0.015317,0.023339,0.014483,0.108709
"Zadarska","Zadar",NA,0.079783,0.044035,0.469902,0.313948,0.099549,0.146598,0.016714
"Zagrebačka","Zagreb",0.139797,0.115496,0.12903,0.150831,0.141226,0.134809,0.520369,0.077626
