"Županija","County.of","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",51784,32910,29385,24415,20365,18455,18383,14230,14978,14622,14541,8468,4985,8534,8959,10378,10638,11706
"Zagrebačka","Zagreb",4849,2700,2151,1712,1543,1572,1219,808,881,828,819,470,341,520,534,627,551,652
"Krapinsko-zagorska","Krapina Zagorje",281,177,172,148,162,146,111,98,106,123,110,62,65,78,59,56,79,118
"Sisačko-moslavačka","Sisak Moslavina",2776,1674,1698,981,903,788,672,597,580,576,571,249,161,266,272,244,258,361
"Karlovačka","Karlovac",3926,847,643,486,428,408,399,311,290,354,337,175,77,122,184,164,198,257
"Varaždinska","Varaždin",643,360,340,225,181,207,167,175,183,172,175,134,67,140,71,123,120,203
"Koprivničko-križevačka","Koprivnica Križevci",807,469,307,228,149,156,151,98,120,117,118,56,32,73,66,48,62,90
"Bjelovarsko-bilogorska","Bjelovar Bilogora",1622,840,647,405,321,267,243,211,232,222,228,91,28,104,76,70,108,117
"Primorsko-goranska","Primorje Gorski kotar",2243,1674,1470,1139,1123,1135,1003,848,825,858,943,479,291,727,840,915,957,1049
"Ličko-senjska","Lika Senj",611,242,255,213,228,268,226,221,175,215,226,117,66,146,132,137,146,147
"Virovitičko-podravska","Virovitica Podravina",1427,780,700,473,505,298,338,228,214,233,273,135,79,66,82,67,66,99
"Požeško-slavonska","Požega Slavonia",1263,596,695,479,295,210,210,164,165,173,152,61,43,57,67,80,87,125
"Brodsko-posavska","Slavonski Brod Posavina",3720,2029,1865,1195,994,816,748,732,766,824,668,336,185,248,226,216,212,300
"Zadarska","Zadar",2203,1427,1286,1433,1487,1230,1360,1311,1526,1376,1368,669,373,563,473,561,534,612
"Osječko-baranjska","Osijek Baranja",2845,1860,1522,1112,986,781,658,588,696,721,765,441,232,401,427,395,378,470
"Šibensko-kninska","Šibenik Knin",2194,1329,1054,918,842,826,896,790,887,770,871,438,153,246,257,343,516,415
"Vukovarsko-srijemska","Vukovar Sirmium",2437,1567,1619,1044,620,618,518,590,614,854,763,429,190,311,353,325,287,434
"Splitsko-dalmatinska","Split Dalmatia",4291,3569,4581,4654,3128,2693,3185,2289,2103,1693,1756,1140,823,1226,1250,1765,1678,1828
"Istarska","Istria",1989,1371,1524,1171,1174,1169,1049,996,961,1023,1088,474,293,606,735,895,1009,1076
"Dubrovačko-neretvanska","Dubrovnik Neretva",1659,1280,1381,1080,852,694,779,741,901,910,939,682,300,503,467,664,552,465
"Međimurska","Međimurje",279,285,254,222,212,192,124,123,123,142,106,93,74,88,81,89,100,130
"Grad Zagreb","City of Zagreb",9719,7834,5221,5097,4232,3981,4327,2311,2630,2438,2265,1737,1112,2043,2307,2594,2740,2758
