"Policijska.uprava","Police.departments","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",26854,24879,22370,23750,25711,23059,22471,18759,18483,16403,15642,14530,15372
"Zagrebaèka","Zagreb2)",5739,5663,4842,5194,5501,4768,5039,4132,4208,3857,3633,3513,3475
"Krapinsko-zagorska","Krapina-Zagorje",1011,754,678,761,707,625,566,519,461,440,355,307,365
"Sisaèko-moslavaèka","Sisak-Moslavina",1152,982,1127,1170,1307,1143,976,788,806,745,663,600,591
"Karlovaèka","Karlovac",968,854,697,800,994,765,727,630,549,530,466,475,511
"Varaždinska","Varaždin",757,571,591,627,673,690,642,546,510,446,523,415,506
"Koprivnièko-križevaèka","Koprivnica-Križevci",700,690,650,628,690,651,582,383,433,374,378,361,397
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",744,618,606,677,627,514,590,487,477,376,432,383,438
"Primorsko-goranska","Primorje-Gorski kotar",1840,1676,1459,1647,1616,1537,1641,1329,1344,1156,1106,1041,946
"Lièko-senjska","Lika-Senj",712,597,409,405,456,454,448,370,389,422,367,285,386
"Virovitièko-podravska","Virovitica-Podravina",525,518,478,447,491,454,473,405,400,329,322,226,268
"Požeško-slavonska","Požega-Slavonia",526,403,422,455,441,384,387,388,352,253,271,238,238
"Brodsko-posavska","Slavonski Brod-Posavina",1168,1045,903,1046,1167,1083,1045,759,806,685,659,616,711
"Zadarska","Zadar",1335,1147,1112,1082,1284,1140,1129,1051,950,845,819,740,781
"Osjeèko-baranjska","Osijek-Baranja",1666,1606,1421,1723,1851,1627,1593,1245,1145,1123,1081,896,933
"Šibensko-kninska","Šibenik-Knin",793,831,762,791,783,727,627,541,549,507,460,514,485
"Vukovarsko-srijemska","Vukovar-Sirmium",1027,1041,638,721,1107,1030,949,839,863,796,753,737,813
"Splitsko-dalmatinska","Split-Dalmatia",2948,2850,2712,2675,2879,2666,2473,2145,2047,1603,1591,1464,1630
"Istarska","Istria",1829,1853,1586,1633,1737,1496,1475,1236,1180,1073,969,937,991
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",857,754,873,822,877,816,688,652,633,539,507,463,604
"Meðimurska","Meðimurje",557,426,404,446,523,489,421,314,381,304,287,319,303
