"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",NA,NA,1156,1199,1244,1244,1254,1254,1289,1290,1310
"Zagrebaèka","Zagreb",NA,NA,116,116,128,128,128,128,128,128,135
"Krapinsko-zagorska","Krapina-Zagorje",NA,NA,37,37,38,39,39,39,39,39,39
"Sisaèko-moslavaèka","Sisak-Moslavina",NA,NA,64,64,64,64,64,64,64,64,74
"Karlovaèka","Karlovac",NA,NA,83,83,83,83,83,83,83,83,83
"Varaždinska","Varaždin",NA,NA,45,45,45,45,45,45,45,45,45
"Koprivnièko-križevaèka","Koprivnica-Križevci",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Primorsko-goranska","Primorje-Gorski kotar",NA,NA,127,127,128,128,128,128,137,138,138
"Lièko-senjska","Lika-Senj",NA,NA,118,118,118,118,118,118,118,118,118
"Virovitièko-podravska","Virovitica-Podravina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Požeško-slavonska","Požega-Slavonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brodsko-posavska","Slavonski Brod-Posavina",NA,NA,123,123,124,124,124,124,124,124,124
"Zadarska","Zadar",NA,NA,74,74,74,74,74,74,74,74,74
"Osjeèko-baranjska","Osijek-Baranja",NA,NA,10,10,43,43,43,43,43,43,43
"Šibensko-kninska","Šibenik-Knin",NA,NA,43,43,43,43,43,43,43,43,43
"Vukovarsko-srijemska","Vukovar-Sirmium",NA,NA,50,50,50,50,50,50,50,50,50
"Splitsko-dalmatinska","Split-Dalmatia",NA,NA,74,115,115,115,124,124,131,131,131
"Istarska","Istria",NA,NA,126,126,126,126,126,126,126,126,126
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",NA,NA,NA,NA,NA,NA,NA,NA,19,19,19
"Meðimurska","Meðimurje",NA,NA,20,22,22,22,22,22,22,22,22
"Grad Zagreb","City of Zagreb",NA,NA,46,46,44,44,44,44,44,44,46
